                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4077,                 14.415,                 1.1473,                 0.0007,                0.16667,                0.10484,                0.03332,                  2.742,                 13.526,                 1.1421,             0.00096215,             0.00096215,             0.00096215
                     36,                 2.2341,                 10.638,                 1.0402,                0.90598,                0.08718,                0.10802,                0.03178,                 2.9194,                 13.791,                 1.2292,               0.000948,               0.000948,               0.000948
                     37,                 3.1648,                 19.645,                 1.4088,                0.90598,                0.08718,                0.10802,                0.03178,                 2.9194,                 13.791,                 1.2292,             0.00093385,             0.00093385,             0.00093385
                     38,                 2.6075,                 39.718,                0.90134,                0.89422,                0.07307,                0.10806,                 0.0327,                 3.1335,                 12.965,                 1.3313,              0.0009197,              0.0009197,              0.0009197
                     39,                 2.6559,                 30.243,                 1.0723,                0.89141,                0.06969,                0.11281,                0.03565,                 3.0536,                 12.934,                 1.2447,             0.00090556,             0.00090556,             0.00090556
                     40,                 3.0768,                   22.4,                 1.3461,                0.90559,                    0.1,                0.11209,                0.02853,                 2.8767,                 11.617,                 1.2272,             0.00089141,             0.00089141,             0.00089141
                     41,                 2.4504,                 9.6794,                 1.2311,                0.90559,                    0.1,                0.11209,                0.02853,                 2.8767,                 11.617,                 1.2272,             0.00087726,             0.00087726,             0.00087726
                     42,                 2.1275,                 12.102,                 1.2808,                0.84217,                    0.1,                 0.1034,                0.02598,                 2.8288,                 11.032,                 1.1585,             0.00086312,             0.00086312,             0.00086312
                     43,                 3.0185,                 14.656,                 1.3516,                0.43378,                0.06667,                0.16298,                 0.0656,                 2.3994,                 10.677,                 1.0965,             0.00084897,             0.00084897,             0.00084897
                     44,                 2.9189,                 13.481,                 1.3816,                0.37103,                0.03333,                0.11626,                0.06018,                 2.6045,                 10.108,                 1.0814,             0.00083482,             0.00083482,             0.00083482
                     45,                 2.9508,                 28.111,                 1.2346,                0.37103,                0.03333,                0.11626,                0.06018,                 2.6045,                 10.108,                 1.0814,             0.00082067,             0.00082067,             0.00082067
                     46,                 2.5906,                  13.55,                 1.1575,                0.20951,                0.18333,                0.15758,                0.06413,                 2.6173,                 10.989,                 1.1064,             0.00080653,             0.00080653,             0.00080653
                     47,                 2.8661,                 21.999,                 1.2848,                0.20845,                0.20301,                0.16904,                0.08286,                 2.3116,                 10.164,                  1.053,             0.00079238,             0.00079238,             0.00079238
                     48,                 2.4158,                 11.511,                 1.1825,                0.25956,                 0.2682,                0.21566,                0.10631,                 2.1258,                 10.159,                 1.0188,             0.00077823,             0.00077823,             0.00077823
                     49,                 2.9007,                 37.335,                 1.1541,                0.25956,                 0.2682,                0.21566,                0.10631,                 2.1258,                 10.159,                 1.0188,             0.00076409,             0.00076409,             0.00076409
                     50,                 2.4581,                 17.709,                 1.0671,                0.45036,                0.20833,                 0.2119,                0.11754,                 2.1386,                 10.449,                0.99232,             0.00074994,             0.00074994,             0.00074994
                     51,                 2.0658,                 10.831,                 1.1275,                0.55241,                0.12862,                0.16385,                 0.0683,                 2.5859,                 12.632,                 1.0508,             0.00073579,             0.00073579,             0.00073579
                     52,                 2.0075,                 12.474,                0.97849,                0.48294,                0.16667,                0.14142,                0.05802,                 2.7644,                  13.13,                 1.1691,             0.00072164,             0.00072164,             0.00072164
                     53,                 2.1592,                 9.6502,                 1.2462,                0.48294,                0.16667,                0.14142,                0.05802,                 2.7644,                  13.13,                 1.1691,              0.0007075,              0.0007075,              0.0007075
                     54,                 2.3812,                 20.713,                 1.0255,                0.55517,                0.13276,                 0.1632,                0.07329,                  2.955,                 12.683,                 1.3048,             0.00069335,             0.00069335,             0.00069335
                     55,                 2.5799,                  32.84,                 1.0453,                0.88771,                0.13157,                0.16668,                0.07219,                 3.0523,                 13.278,                  1.291,              0.0006792,              0.0006792,              0.0006792
                     56,                 2.7194,                 36.903,                 1.0118,                0.88531,                0.12797,                0.20435,                0.08036,                 2.9024,                 12.011,                 1.2207,             0.00066506,             0.00066506,             0.00066506
                     57,                 2.3049,                 15.398,                 1.2899,                0.88531,                0.12797,                0.20435,                0.08036,                 2.9024,                 12.011,                 1.2207,             0.00065091,             0.00065091,             0.00065091
                     58,                 3.1764,                 35.348,                 1.1661,                0.87346,                    0.1,                0.22732,                0.08389,                   2.64,                 11.774,                 1.1187,             0.00063676,             0.00063676,             0.00063676
                     59,                 2.5194,                 11.664,                 1.1531,                0.94044,                    0.1,                0.19267,                0.07679,                 2.3927,                 10.368,                 1.0539,             0.00062262,             0.00062262,             0.00062262
                     60,                 2.3395,                 10.667,                 1.1662,                0.91949,                    0.1,                0.22253,                 0.0934,                 2.0459,                 8.7566,                0.97622,             0.00060847,             0.00060847,             0.00060847
                     61,                 2.7007,                 29.513,                 1.2826,                0.91949,                    0.1,                0.22253,                 0.0934,                 2.0459,                 8.7566,                0.97622,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.9172,                 11.278,                 1.2025,                0.85505,                0.13333,                0.22294,                 0.1181,                  1.936,                 8.2204,                 0.9481,             0.00058017,             0.00058017,             0.00058017
                     63,                 2.8233,                 17.792,                 1.3039,                0.73014,                0.21667,                0.24324,                0.13075,                 1.7854,                 7.9258,                0.90697,             0.00056603,             0.00056603,             0.00056603
                     64,                 2.9496,                 39.275,                  1.268,                0.76174,                0.21667,                0.24847,                0.15024,                 1.7866,                 8.0529,                0.88829,             0.00055188,             0.00055188,             0.00055188
                     65,                 2.3819,                 8.5357,                 1.4239,                0.76174,                0.21667,                0.24847,                0.15024,                 1.7866,                 8.0529,                0.88829,             0.00053773,             0.00053773,             0.00053773
                     66,                 2.1432,                 14.476,                 1.0857,                0.63425,                0.21667,                0.29367,                0.16468,                 1.8389,                 8.1539,                0.89025,             0.00052359,             0.00052359,             0.00052359
                     67,                 2.1077,                 9.5463,                 1.2151,                 0.5133,                0.33696,                0.29425,                  0.163,                 1.8228,                 8.3036,                0.88913,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.9115,                   7.82,                 1.1891,                0.48171,                0.25833,                0.27458,                0.16243,                  1.804,                 8.1754,                0.89023,             0.00049529,             0.00049529,             0.00049529
                     69,                 2.6193,                 16.531,                 1.2663,                0.48171,                0.25833,                0.27458,                0.16243,                  1.804,                 8.1754,                0.89023,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.8843,                 22.017,                 1.1021,                0.45677,                0.25833,                0.26573,                0.16132,                 1.8501,                 8.3254,                0.90582,               0.000467,               0.000467,               0.000467
                     71,                 2.6307,                 13.124,                 1.0843,                0.41786,                0.25833,                0.27794,                0.15665,                  1.955,                 8.3921,                0.93147,             0.00045285,             0.00045285,             0.00045285
                     72,                 2.6076,                 30.061,                 1.1166,                0.46154,                0.23317,                0.29296,                0.17199,                 1.9419,                 8.0833,                0.93485,              0.0004387,              0.0004387,              0.0004387
                     73,                 2.8491,                 11.696,                 1.2017,                0.46154,                0.23317,                0.29296,                0.17199,                 1.9419,                 8.0833,                0.93485,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.4542,                 26.874,                0.82788,                0.74336,                0.22221,                0.28824,                0.17744,                  1.948,                 7.9419,                0.94007,             0.00041041,             0.00041041,             0.00041041
                     75,                  2.761,                 12.671,                 1.2316,                0.87505,                0.13333,                 0.3065,                0.20078,                 1.8501,                 7.9943,                0.93508,             0.00039626,             0.00039626,             0.00039626
                     76,                 2.2462,                 7.9187,                 1.1236,                0.88419,                0.16667,                0.30813,                0.19959,                 1.8163,                 7.7203,                0.93414,             0.00038211,             0.00038211,             0.00038211
                     77,                 2.6408,                  19.86,                0.98118,                0.88419,                0.16667,                0.30813,                0.19959,                 1.8163,                 7.7203,                0.93414,             0.00036797,             0.00036797,             0.00036797
                     78,                 2.3134,                 9.7044,                 1.0788,                0.81496,                0.16667,                0.30414,                0.19928,                 1.7744,                 7.7058,                0.91752,             0.00035382,             0.00035382,             0.00035382
                     79,                 2.2238,                 10.182,                  1.144,                0.93984,                0.13333,                0.30367,                0.19779,                 1.7626,                 7.6656,                0.90272,             0.00033967,             0.00033967,             0.00033967
                     80,                 2.8319,                 14.913,                 1.1508,                0.99777,                0.16667,                0.30645,                0.20038,                  1.787,                 7.8042,                0.89549,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.5914,                 7.3547,                0.97573,                0.99777,                0.16667,                0.30645,                0.20038,                  1.787,                 7.8042,                0.89549,             0.00031138,             0.00031138,             0.00031138
                     82,                 2.0886,                 16.385,                 1.0281,                0.97001,                0.16667,                0.30656,                0.20489,                 1.7941,                 8.0605,                0.88631,             0.00029723,             0.00029723,             0.00029723
                     83,                 2.1278,                 9.7597,                 1.0498,                0.98855,                0.16667,                 0.3073,                0.20453,                 1.7934,                  8.123,                0.87719,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.3109,                 33.463,                0.60936,                0.65961,                0.20833,                0.30367,                0.19599,                 1.7935,                 8.1904,                0.87459,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.9267,                  8.459,                  1.069,                0.65961,                0.20833,                0.30367,                0.19599,                 1.7935,                 8.1904,                0.87459,             0.00025479,             0.00025479,             0.00025479
                     86,                 2.0345,                 12.919,                 1.0494,                0.70294,                0.29167,                 0.3057,                0.19406,                 1.7787,                 8.1497,                0.86581,             0.00024064,             0.00024064,             0.00024064
                     87,                 2.4844,                 23.558,                 1.0899,                0.65898,                0.27995,                0.30907,                 0.1922,                 1.7532,                 7.9954,                0.85886,              0.0002265,              0.0002265,              0.0002265
                     88,                 2.0894,                 16.545,                 0.9714,                0.69449,                0.25833,                 0.3059,                0.19021,                 1.7321,                 8.0409,                0.85336,             0.00021235,             0.00021235,             0.00021235
                     89,                 2.4509,                 17.593,                 1.1876,                0.69449,                0.25833,                 0.3059,                0.19021,                 1.7321,                 8.0409,                0.85336,              0.0001982,              0.0001982,              0.0001982
                     90,                 3.4603,                 32.176,                 1.2032,                0.75055,                0.25833,                0.30938,                0.19616,                 1.6961,                 7.9403,                0.84776,             0.00018406,             0.00018406,             0.00018406
                     91,                  1.742,                 31.133,                0.66181,                0.84184,                0.25713,                0.30526,                0.19372,                 1.7035,                 7.8681,                0.84871,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.9262,                 11.489,                  1.148,                0.86601,                0.25539,                0.30932,                0.19936,                 1.6999,                 7.8292,                0.84835,             0.00015576,             0.00015576,             0.00015576
                     93,                 2.2521,                 31.286,                 1.2978,                0.86601,                0.25539,                0.30932,                0.19936,                 1.6999,                 7.8292,                0.84835,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.8277,                  29.43,                0.86997,                0.86027,                0.25785,                0.31724,                0.20129,                 1.6924,                 7.6596,                0.84501,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.0768,                 26.701,                0.60337,                0.82035,                0.25833,                0.32074,                0.21325,                 1.6826,                 7.6184,                0.84469,             0.00011332,             0.00011332,             0.00011332
                     96,                  1.244,                 28.243,                0.75315,                  0.797,                0.25833,                0.32353,                0.21509,                 1.6588,                 7.6043,                0.84276,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.8474,                 11.539,                 1.1938,                  0.797,                0.25833,                0.32353,                0.21509,                 1.6588,                 7.6043,                0.84276,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.2255,                 27.382,                0.67199,                0.79615,                0.25833,                0.33123,                0.22545,                 1.6507,                 7.5996,                0.84241,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.6343,                 28.613,                0.85616,                0.79848,                0.25833,                0.32602,                0.22534,                 1.6395,                 7.6553,                0.84196,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.9751,                 11.542,                 1.0059,                 0.8012,                0.25833,                0.33948,                0.22251,                 1.6087,                 7.5905,                0.84021,             4.2584e-05,             4.2584e-05,             4.2584e-05
